Time,Packet (Hexadecimal),RSSI,SNR
29-01-2025 17:59:33,0x6 0x46 0xa2 0x9f 0x68 0x7f 0xdb 0xd3 0x9d 0x1a 0x41 0xc0 0x1e 0x4c 0x95 0x56 0x7a 0x8c 0xd1 0x32 0xa5,-118,4.0
29-01-2025 17:59:34,0x58 0xfc 0x1c 0x25 0xd2 0xc5 0x61 0x69 0x27 0xa0 0xfb 0x7a 0xa4 0xf6 0x2f 0x8c 0xc0 0x56 0x9c 0xdb 0x5,-119,4.0
29-01-2025 17:59:34,0x93 0x33 0xf2 0xea 0x7 0xa 0xae 0xa6 0xe8 0x6f 0x34 0xb5 0x6b 0x39 0xe6 0xc5 0xf 0xb0 0x23 0x32 0xd,-124,-1.0
29-01-2025 17:59:34,0x8d 0xd1 0x37 0x8 0xff 0xe8 0x4c 0x44 0xa 0x8d 0xd6 0x57 0x89 0xdb 0x18 0xe3 0xed 0xc8 0x5d 0x3c 0xf4,-127,-8.5
29-01-2025 17:59:35,0x67 0xa7 0x6e 0x7e 0xb3 0x9e 0x3a 0x32 0x7c 0xfb 0xa0 0x21 0xff 0xad 0x72 0xb9 0x9b 0x52 0xeb 0xf5 0x71,-122,0.5
29-01-2025 17:59:37,0xc8 0xc 0xec 0xd5 0x22 0x35 0x91 0x99 0xd7 0x50 0xb 0x8a 0x54 0x6 0xdf 0x1c 0x30 0xc9 0xe4 0x3 0x2a,-120,3.75
29-01-2025 17:59:38,0xae 0xee 0xa 0x37 0xc0 0xd7 0x73 0x7b 0x35 0xb2 0xe9 0x68 0xb6 0xe4 0x3d 0xfe 0xd2 0x74 0x74 0x8 0x2,-119,3.75
29-01-2025 17:59:52,0x3c 0x60 0xb8 0xb9 0x4e 0x59 0xfd 0xf5 0xbb 0x3c 0x67 0xe6 0x38 0x6a 0x8b 0x70 0x5c 0x99 0x32 0x4e 0xea,-126,-8.25
29-01-2025 17:59:53,0xb 0x4b 0xad 0x92 0x65 0x72 0xd6 0xde 0x90 0x17 0x4c 0xcd 0x13 0x41 0x9e 0x5d 0x77 0xe8 0xa4 0x55 0x26,-126,-8.0
29-01-2025 17:59:54,0xa9 0xed 0x2 0x34 0xe3 0xd4 0x70 0x78 0x36 0xb1 0xea 0x6b 0xb5 0xe7 0x3c 0xff 0xd1 0x15 0xfc 0x63 0x4f,-125,-4.0
29-01-2025 17:59:55,0xa0 0xe4 0x4 0x3d 0xca 0xdd 0x79 0x71 0x3f 0xb8 0xe3 0x62 0xbc 0xee 0x37 0xf4 0xd8 0xfb 0xfd 0xae 0xd6,-119,3.75
29-01-2025 17:59:55,0xff 0x1f 0xf0 0xc6 0x51 0x26 0x82 0x8a 0xc4 0x43 0x18 0x99 0x47 0x15 0xca 0x31 0x23 0x1a 0x19 0x5a 0x2f,-125,-1.5
29-01-2025 17:59:56,0x11 0xb5 0x53 0x6c 0x9b 0x8c 0x28 0x20 0x6e 0xe9 0xb2 0x33 0xed 0xbf 0x64 0x47 0x89 0x62 0xe8 0xe0 0x60,-118,4.25
29-01-2025 17:59:56,0x6c 0xb0 0x48 0x69 0x9e 0x89 0x2d 0x25 0x6b 0xec 0xb7 0x36 0xe8 0xba 0x7b 0x40 0x8c 0xe8 0xb1 0x55 0x1,-126,-6.25
29-01-2025 17:59:58,0xe 0x4e 0xa1 0x97 0x80 0x77 0xd3 0xdb 0x95 0x12 0x49 0xc8 0x16 0x44 0x9d 0x5e 0x72 0xae 0x53 0x90 0x67,-126,-5.25
29-01-2025 17:59:59,0x5f 0xff 0x10 0x26 0xf1 0xc6 0x62 0x6a 0x24 0xa3 0xf8 0x79 0xa7 0xf5 0x2a 0x91 0xc3 0xf0 0x12 0x63 0x7e,-126,-4.75
29-01-2025 18:00:09,0xd3 0x73 0xb4 0xaa 0x7b 0x4a 0xee 0xe6 0xa8 0x2f 0x74 0xf5 0x2b 0x79 0xa6 0x5 0x4f 0x88 0x7b 0x2c 0xe0,-124,-0.25
29-01-2025 18:00:10,0xc1 0x5 0x82 0xdc 0x49 0x3c 0x98 0x90 0xde 0x59 0x2 0x83 0x5d 0xf 0xd4 0x17 0x39 0xc0 0x39 0x92 0x5e,-122,2.25
29-01-2025 18:00:13,0x51 0xf5 0x30 0x2c 0xc5 0xcc 0x68 0x60 0x2e 0xa9 0xf2 0x73 0xad 0xff 0x24 0x87 0xc9 0x1a 0xa6 0x3a 0x85,-124,0.75
